Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
12594044,Harris,Killed,214,Saturday,29.79783678,-95.68832523,Clear
12234144,Harris,Unknown,250,Sunday,29.73543781,-95.41866827,Clear
12253668,Harris,Killed,220,Sunday,29.62817186,-95.22929413,Clear
12824343,Harris,Not Injured,140,Sunday,29.67585481,-95.53835305,Clear
12206231,Harris,Incapacitating Injury,2319,Friday,29.83103479,-95.67173035,Clear
12238056,Harris,Incapacitating Injury,2350,Friday,29.68888482,-95.60433303,Cloudy
12256064,Harris,Incapacitating Injury,2100,Friday,29.74277481,-95.40125308,Cloudy
12412162,Harris,Not Injured,2255,Friday,29.69773491,-95.29205336,Clear
12509991,Harris,Not Injured,1313,Friday,29.6313903,-95.20582395,Clear
12205433,Harris,Possible Injury,1829,Saturday,29.8898136,-95.37209288,Clear
12237276,Harris,Possible Injury,1541,Saturday,29.66503483,-95.57633304,Clear
12237334,Harris,Possible Injury,930,Saturday,29.67453905,-95.57717862,Clear
12237395,Harris,Not Injured,2135,Saturday,29.71770482,-95.53908039,Clear
12238066,Harris,Not Injured,12,Saturday,29.68946481,-95.55386304,Cloudy
12238072,Harris,Not Injured,149,Saturday,29.78184453,-95.33424405,Cloudy
12249951,Harris,Killed,2145,Saturday,29.68816456,-95.57805161,Clear
12256065,Harris,Incapacitating Injury,418,Saturday,29.92130477,-95.39700307,Clear
12510036,Harris,Possible Injury,1923,Saturday,29.82847479,-95.39282308,Clear
12529008,Harris,Not Injured,2208,Saturday,29.69472481,-95.49309306,Clear
12531831,Harris,Not Injured,1945,Saturday,29.75048481,-95.50119306,Cloudy
12674875,Harris,Not Injured,2050,Saturday,29.87965477,-95.3007131,Clear
12237404,Harris,Not Injured,45,Sunday,29.67603461,-95.53716557,Clear
12237817,Harris,Possible Injury,1440,Sunday,29.66495482,-95.43984307,Clear
12512378,Harris,Not Injured,330,Sunday,29.71227999,-95.28619232,Clear
12936488,Harris,Killed,200,Sunday,29.77595576,-95.33182698,Cloudy
12200423,Harris,Not Injured,2353,Monday,29.55519807,-95.11240981,Clear
12281870,Harris,Possible Injury,825,Monday,29.61224469,-95.48999667,Clear
12351759,Harris,Killed,200,Tuesday,29.74914592,-95.58933303,Clear
12236289,Harris,Not Injured,2340,Thursday,29.70397482,-95.57129304,Clear
12509507,Harris,Not Injured,1900,Thursday,29.83264479,-95.50923305,Clear
12578524,Harris,Killed,300,Thursday,29.71674995,-95.55737116,Cloudy
